product_id,product_name,description,price,stock_quantity,category
685e2ba4fc13ae2323fa13b8,Ice Cube Tray with Lid,Silicone tray for making ice cubes with a lid to prevent spills.,10.99,292,Kitchen
685e2ba4fc13ae2323fa13b9,Chipotle Lime Salsa,Spicy salsa with chipotle and lime for a zesty kick.,3.99,59,Food 
685e2ba4fc13ae2323fa13ba,Portable Projector,Compact projector for movies and presentations on the go.,199.99,37,Electronics
685e2ba4fc13ae2323fa13bb,Dark Chocolate Almond Butter Cups,Rich almond butter encased in dark chocolate.,4.99,323,Food 
685e2ba4fc13ae2323fa13bc,Mini Indoor Herb Garden Kit,All-in-one kit for growing herbs in your kitchen.,24.99,263,Garden
685e2ba4fc13ae2323fa13bd,Luxury Bath Salts,Scented bath salts for relaxation and self-care.,19.99,369,Beauty
685e2ba4fc13ae2323fa13be,Chia Seed Pudding,"Nutritious chia seed pudding in vanilla flavor, ready to eat.",3.99,149,Food 
685e2ba4fc13ae2323fa13bf,Mini Indoor Hydroponic Garden,Grow herbs indoors with this easy-to-use hydroponic garden system.,59.99,165,Garden
685e2ba4fc13ae2323fa13c0,Rechargeable Hand Warmer,Portable rechargeable warmer for cold days.,22.99,485,Accessories
685e2ba4fc13ae2323fa13c1,Miso Soup Mix,"Instant miso soup mix, just add hot water for a warm meal.",3.29,257,Food 
685e2ba4fc13ae2323fa13c2,Portable Air Conditioner,Compact air conditioner for personal cooling.,299.99,347,Home Appliances
685e2ba4fc13ae2323fa13c3,Sweet Potatoes (organic),"Fresh organic sweet potatoes, great for roasting or mashing.",1.99,435,Food 
685e2ba4fc13ae2323fa13c4,Children's Science Experiment Lab Kit,STEM-based kit for kids featuring cool science experiments.,29.99,203,Toys
685e2ba4fc13ae2323fa13c5,Honey Graham Crackers,Sweet and crunchy honey-flavored graham crackers.,3.29,171,Food 
685e2ba4fc13ae2323fa13c6,Garden Hose Reel,Compact hose reel to keep your garden tidy.,49.99,441,Garden
685e2ba4fc13ae2323fa13c7,LED Makeup Mirror,Illuminated vanity mirror with adjustable brightness settings.,39.99,119,Beauty
685e2ba4fc13ae2323fa13c8,Stick Vacuums Cleaner,Cordless vacuum cleaner for quick clean-ups.,129.99,453,Home Appliances
685e2ba4fc13ae2323fa13c9,Outdoor Inflatable Pool,Large inflatable pool for summer fun in your backyard.,149.99,351,Outdoor
685e2ba4fc13ae2323fa13ca,Sea Salt Tortilla Chips,"Crunchy tortilla chips with a hint of sea salt, great with dips.",2.49,107,Food 
685e2ba4fc13ae2323fa13cb,Chilli Lime Corn on the Cob,Corn on the cob seasoned with chili and lime for a spicy kick.,1.99,147,Food 
685e2ba4fc13ae2323fa13cc,Chocolate Protein Powder,Rich chocolate protein powder for smoothies and baking.,24.99,222,Food 
685e2ba4fc13ae2323fa13cd,Portable Blender,Battery-operated blender for smoothies on the go.,30,280,Kitchen
685e2ba4fc13ae2323fa13ce,Electric Hot Pot,Compact electric pot for hot pot dining at home.,49.99,110,Kitchen
685e2ba4fc13ae2323fa13cf,Incense Holder,Ceramic incense holder for a calming atmosphere.,14.99,311,Home
685e2ba4fc13ae2323fa13d0,Sea Salt Caramel Popcorn,"Sweet and salty popcorn with sea salt and caramel, a tasty treat.",3.99,228,Food 
685e2ba4fc13ae2323fa13d1,Coconut Cream Pie,Delicious pie filled with coconut cream and topped with whipped cream.,9.49,18,Food 
685e2ba4fc13ae2323fa13d2,Kids' Trampoline,Safe and fun trampoline for children.,139.99,480,Toys
685e2ba4fc13ae2323fa13d3,Peach Preserves,"Sweet and fruity peach preserves, perfect for spreading on toast.",3.79,160,Food 
685e2ba4fc13ae2323fa13d4,Chili Beans (canned),"Canned beans with chili sauce, perfect for chili dishes.",1.69,60,Food 
685e2ba4fc13ae2323fa13d5,Electric Ice Cream Maker,Make delicious ice cream at home with this user-friendly machine.,59.99,350,Kitchen
685e2ba4fc13ae2323fa13d6,Protein Bar Variety Pack,A pack of assorted nut and protein bars for a quick energy boost.,12.99,242,Food 
685e2ba4fc13ae2323fa13d7,Vegan Mayonnaise,Plant-based mayonnaise for a creamy taste.,4.49,111,Food 
685e2ba4fc13ae2323fa13d8,Coconut Cashew Yogurt,"Creamy yogurt made with coconut and cashews, dairy-free.",1.99,329,Food 
685e2ba4fc13ae2323fa13d9,Almond Flour Pancake Mix,Gluten-free pancake mix made with almond flour.,5.99,249,Food 
685e2ba4fc13ae2323fa13da,LED Flashing Pet Collar,Safety collar with flashing lights for pets during night walks.,14.99,235,Pets
685e2ba4fc13ae2323fa13db,Smart Wi-Fi Camera,Indoor Wi-Fi camera for home security.,89.99,357,Smart Home
685e2ba4fc13ae2323fa13dc,Mini Air Purifier,Battery-operated air purifier for small spaces.,49.99,161,Health
685e2ba4fc13ae2323fa13dd,Cinnamon Rolls,"Sweet and gooey cinnamon rolls, ready to bake.",4.49,144,Food 
685e2ba4fc13ae2323fa13de,Incense Holder,Ceramic incense holder for a calming atmosphere.,14.99,99,Home
685e2ba4fc13ae2323fa13df,Set of Measuring Spoons,Stainless steel measuring spoons set for cooking.,12.99,320,Kitchen
685e2ba4fc13ae2323fa13e0,Essential Oil Diffuser,Ultrasonic diffuser that helps create a calming atmosphere.,34.99,181,Health
685e2ba4fc13ae2323fa13e1,Key Finder,Bluetooth-enabled key tracker to find lost items easily.,19.99,246,Accessories
685e2ba4fc13ae2323fa13e2,Sesame Seeds,Crunchy seeds perfect for toppings and baking.,1.99,211,Food 
685e2ba4fc13ae2323fa13e3,Ice Cream Maker,Homemade ice cream maker for delicious desserts.,79.99,232,Kitchen
685e2ba4fc13ae2323fa13e4,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,6.49,40,Food 
685e2ba4fc13ae2323fa13e5,Whole Grain Mustard,Tangy whole grain mustard for sandwiches and dressings.,3.49,197,Food 
685e2ba4fc13ae2323fa13e6,Dark Chocolate Covered Raisins,Satisfy your sweet tooth with these dark chocolate-covered raisins.,3.99,361,Food 
685e2ba4fc13ae2323fa13e7,Striped Long Sleeve Shirt,A casual striped long sleeve shirt that's perfect for layering.,29.99,181,Clothing 
685e2ba4fc13ae2323fa13e8,DIY Candle Making Kit,Everything you need to make your own candles.,22.99,260,Crafts
685e2ba4fc13ae2323fa13e9,Vegetable Curry,A hearty vegetable curry for a quick and satisfying meal.,5.99,375,Food 
685e2ba4fc13ae2323fa13ea,Silicone Wine Glasses,Durable and shatterproof silicone glasses for outdoor use.,22.99,234,Outdoor
685e2ba4fc13ae2323fa13eb,French Bread,"Freshly baked French baguette, perfect for dipping.",2.49,432,Food 
685e2ba4fc13ae2323fa13ec,LED Desk Lamp with USB Charging Port,Modern lamp featuring a USB port for convenient charging.,29.99,22,Office
685e2ba4fc13ae2323fa13ed,Kids' Art Easel,Double-sided art easel for painting and drawing.,58.99,141,Toys
685e2ba4fc13ae2323fa13ee,Mini Projector for Smartphones,Compact and portable projector for watching videos anywhere.,99.99,380,Electronics
685e2ba4fc13ae2323fa13ef,Automatic Pet Feeder,Programmable pet feeder for scheduled meals.,69.99,76,Pets
685e2ba4fc13ae2323fa13f0,Organic Black Bean Burger,Delicious plant-based burger made with organic black beans and spices.,4.49,111,Food 
685e2ba4fc13ae2323fa13f1,Wrist Support Brace,Comfortable support brace to relieve wrist pain.,19.99,134,Health
685e2ba4fc13ae2323fa13f2,Outdoor Inflatable Pool,Large inflatable pool for summer fun in your backyard.,149.99,253,Outdoor
685e2ba4fc13ae2323fa13f3,Coffee Maker,Single-serve coffee maker with a built-in grinder.,89.99,316,Kitchen
685e2ba4fc13ae2323fa13f4,Turmeric Ginger Tea,A soothing tea blend with turmeric and ginger for wellness.,3.29,343,Food 
685e2ba4fc13ae2323fa13f5,Vegetable Lasagna,"Layers of pasta, veggies, and cheese baked to perfection.",6.99,99,Food 
685e2ba4fc13ae2323fa13f6,Granola,Crunchy and flavorful mix of oats and honey.,4.79,156,Food 
685e2ba4fc13ae2323fa13f7,Mango Chutney,Sweet and tangy mango chutney for a flavorful dip.,3.99,253,Food 
685e2ba4fc13ae2323fa13f8,Almond Flour,"Gluten-free almond flour, perfect for baking.",5.99,200,Food 
685e2ba4fc13ae2323fa13f9,Personal Blender with Cups,Compact blender that comes with travel cups for smoothies.,34.99,410,Kitchen
685e2ba4fc13ae2323fa13fa,Magic Color-Changing Mug,Heat-sensitive mug that changes color when filled with hot liquid.,14.99,457,Kitchen
685e2ba4fc13ae2323fa13fb,Spinach and Feta Stuffed Chicken Breast,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",8.99,260,Food 
685e2ba4fc13ae2323fa13fc,LED Christmas Lights,Eco-friendly LED lights for festive decorations.,29.99,179,Home
685e2ba4fc13ae2323fa13fd,Instant Read Meat Thermometer,Fast and accurate thermometer for grilling and cooking.,24.99,187,Kitchen
685e2ba4fc13ae2323fa13fe,Tomatillo Salsa,Tangy salsa made from tomatillos and peppers.,3.29,238,Food 
685e2ba4fc13ae2323fa13ff,Raspberry Vanilla Greek Yogurt,Creamy Greek yogurt infused with raspberry and vanilla flavors.,3.49,187,Food 
685e2ba4fc13ae2323fa1400,Smartphone Hand Grip,Sturdy grip to hold your phone securely while taking selfies.,9.99,407,Accessories
685e2ba4fc13ae2323fa1401,Garden Tool Set with Carrying Bag,Complete set for garden care with a handy carrying bag.,39.99,306,Garden
685e2ba4fc13ae2323fa1402,Spicy Avocado Salsa,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.",4.49,20,Food 
685e2ba4fc13ae2323fa1403,Wall Calendar,Beautiful wall calendar for organizing your schedule.,17.99,413,Home
685e2ba4fc13ae2323fa1404,Smart Air Purifier,Filters allergens and pollutants from the air for a healthier home.,199.99,270,Home
685e2ba4fc13ae2323fa1405,Watering Can with Nozzle,Stylish watering can for plants with easy pouring nozzle.,19.99,302,Garden
685e2ba4fc13ae2323fa1406,Chili Lime Shrimp,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners.",8.99,131,Food 
685e2ba4fc13ae2323fa1407,Travel Beach Blanket,Sand-resistant and compact for outdoor and beach use.,29.99,449,Outdoor
685e2ba4fc13ae2323fa1408,Cranberry Almond Biscotti,Crispy and delicious biscotti flavored with cranberry and almond.,4.19,266,Food 
685e2ba4fc13ae2323fa1409,Oven-Baked Potato Chips,Light and crispy baked potato chips in assorted flavors.,2.79,436,Food 
685e2ba4fc13ae2323fa140a,Garden Tool Set with Carrying Bag,Complete set for garden care with a handy carrying bag.,39.99,166,Garden
685e2ba4fc13ae2323fa140b,Herbed Mushroom Risotto,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course.",5.49,15,Food 
685e2ba4fc13ae2323fa140c,Outdoor Folding Table,Lightweight and portable folding table for camping or picnics.,39.99,185,Outdoor
685e2ba4fc13ae2323fa140d,DIY Lip Balm Making Kit,Complete kit to make your own flavored lip balms at home.,22.99,20,Crafts
685e2ba4fc13ae2323fa140e,Fishing Rod,Lightweight fishing rod suitable for beginners.,49.99,323,Outdoor
685e2ba4fc13ae2323fa140f,Pineapple Coconut Bars,Refreshing dessert bars made with pineapple and coconut.,3.79,135,Food 
685e2ba4fc13ae2323fa1410,Set of Herb Garden Markers,Stylish markers for labeling your indoor garden plants.,8.99,101,Garden
685e2ba4fc13ae2323fa1411,Sweet Cherry Tomatoes,Fresh and juicy cherry tomatoes for salads and snacking.,2.99,390,Food 
685e2ba4fc13ae2323fa1412,Non-Toxic Crayons for Kids,Safe and vibrant crayons for children's art projects.,10.99,390,Toys
685e2ba4fc13ae2323fa1413,Eco-Friendly Cleaning Cloths,Reusable microfiber cloths for environmentally friendly cleaning.,12.99,315,Home
685e2ba4fc13ae2323fa1414,Picnic Blanket,Waterproof picnic blanket for outdoor fun.,29.99,437,Outdoor
685e2ba4fc13ae2323fa1415,Spicy Salsa Verde,"Green salsa with a spicy kick, great for dipping.",3.49,10,Food 
685e2ba4fc13ae2323fa1416,Pumpkin Spice Cookies,Delicious cookies flavored with pumpkin and spices.,3.29,404,Food 
685e2ba4fc13ae2323fa1417,Salsa Verde,"Tangy green salsa made with tomatillos, perfect for tacos.",3.49,258,Food 
685e2ba4fc13ae2323fa1418,Handmade Soap Making Kit,Complete kit for crafting your own scented soaps.,34.99,252,Crafts
685e2ba4fc13ae2323fa1419,Baking Powder,Essential ingredient for baking fluffy cakes and pastries.,1.79,321,Food 
685e2ba4fc13ae2323fa141a,Blackberry Compote,"Sweet blackberry compote, perfect for topping desserts.",5.29,417,Food 
685e2ba4fc13ae2323fa141b,Mixed Nuts,"A blend of assorted nuts, perfect for snacking or adding to recipes.",5.99,322,Food 
685e2ba4fc13ae2323fa141c,Orange Ginger Vinaigrette,Tangy vinaigrette with orange and ginger flavors.,3.99,63,Food 
685e2ba4fc13ae2323fa141d,Karaoke Microphone,Wireless microphone for singing and performances.,39.99,12,Music
685e2ba4fc13ae2323fa141e,Aeropress Coffee Maker,Portable coffee maker for rich brews on the go.,29.99,342,Kitchen
685e2ba4fc13ae2323fa141f,Gardening Gloves,Durable gardening gloves with reinforced fingertips.,15.99,55,Garden
685e2ba4fc13ae2323fa1420,Cordless Water Flosser,Rechargeable water flosser for dental hygiene.,49.99,356,Health
685e2ba4fc13ae2323fa1421,Fleece Lined Leggings,Comfortable and warm leggings perfect for colder weather.,29.99,132,Clothing
685e2ba4fc13ae2323fa1422,Patterned Knit Scarf,Add a pop of color with this stylish patterned knit scarf.,25.99,410,Clothing 
685e2ba4fc13ae2323fa1423,Insulated Wine Tote,Stylish tote to keep wine bottles chilled while traveling.,24.99,157,Accessories
685e2ba4fc13ae2323fa1424,Drone,Beginner-friendly drone with HD camera.,249.99,80,Electronics
685e2ba4fc13ae2323fa1425,Spicy Thai Noodles,Instant noodles with a spicy Thai sauce for quick meals.,1.99,357,Food 
685e2ba4fc13ae2323fa1426,Pet Water Bottle,Portable water bottle for pets when traveling.,18.99,488,Pets
685e2ba4fc13ae2323fa1427,Sesame Garlic Noodles,Delicious noodles tossed in a sesamegarlic sauce.,3.49,91,Food 
685e2ba4fc13ae2323fa1428,Biodegradable Dog Waste Bags,Eco-friendly bags for picking up after your pet.,14.99,163,Pets
685e2ba4fc13ae2323fa1429,Foldable Electric Scooter,Compact electric scooter for commuting and short trips.,349.99,103,Outdoor
685e2ba4fc13ae2323fa142a,Sesame Garlic Noodles,Delicious noodles tossed in a sesamegarlic sauce.,3.49,440,Food 
685e2ba4fc13ae2323fa142b,Cabbage Slaw Mix,Fresh cabbage and carrot slaw mix for salads.,2.29,328,Food 
685e2ba4fc13ae2323fa142c,Soft Plush Throw Blanket,Cozy throw blanket perfect for chilly evenings.,29.99,345,Home
685e2ba4fc13ae2323fa142d,Organic Green Apples,"Fresh and tart organic green apples, great for snacking or baking.",1.49,373,Food 
685e2ba4fc13ae2323fa142e,Fitness Jump Rope,Durable jump rope for cardio workouts.,15.99,77,Fitness
685e2ba4fc13ae2323fa142f,Mediterranean Couscous,"Flavored couscous with herbs and spices, perfect as a side dish or a base for salads.",3.59,266,Food 
685e2ba4fc13ae2323fa1430,Maple Almond Yogurt,Creamy yogurt made with maple and almond flavors.,1.89,437,Food 
685e2ba4fc13ae2323fa1431,Vanilla Pudding Mix,Instant mix for creamy vanilla pudding.,1.29,335,Food 
685e2ba4fc13ae2323fa1432,Gaming Mousepad,Oversized gaming mousepad with smooth surface.,19.99,174,Gaming
685e2ba4fc13ae2323fa1433,Garlic Butter Shrimp,"Frozen shrimp sautéed in garlic butter, ready to thaw and serve over pasta or rice.",8.99,129,Food 
685e2ba4fc13ae2323fa1434,Wine Decanter,Elegant glass decanter for aerating wine.,34.99,412,Home
685e2ba4fc13ae2323fa1435,Herb Seasoned Croutons,Crunchy croutons with a blend of herbs for salads.,2.99,323,Food 
685e2ba4fc13ae2323fa1436,Oven-Baked Sweet Potato Fries,"Crispy sweet potato fries, perfectly seasoned and baked to perfection.",3.99,363,Food 
685e2ba4fc13ae2323fa1437,Vegetable Lentil Soup,"A hearty soup made with lentils, a variety of vegetables, and spices, ideal for a nutritious meal.",3.49,193,Food 
685e2ba4fc13ae2323fa1438,Whipped Cream Cheese,"Light and fluffy cream cheese, perfect for bagels or cooking.",2.99,197,Food 
685e2ba4fc13ae2323fa1439,Chocolate Chip Muffins,Fresh baked chocolate chip muffins for breakfast.,3.99,155,Food 
685e2ba4fc13ae2323fa143a,Gluten-Free Biscuits,Fluffy biscuits made without gluten,3.79,364,Food 
685e2ba4fc13ae2323fa143b,Smart Scale,Wi-Fi smart scale for tracking weight and BMI.,59.99,145,Health
685e2ba4fc13ae2323fa143c,Car Vacuum,Portable car vacuum cleaner with strong suction.,49.99,465,Automotive
685e2ba4fc13ae2323fa143d,Kale Salad with Lemon Dressing,"Fresh kale salad with a zesty lemon dressing, great as a side dish.",4.99,441,Food 
685e2ba4fc13ae2323fa143e,Pizza Stone,Ceramic pizza stone for homemade pizzas.,29.99,363,Kitchen
685e2ba4fc13ae2323fa143f,Wireless Music Receiver,Stream music from your device to any speaker wirelessly.,19.99,205,Audio
685e2ba4fc13ae2323fa1440,Crafting Kit,Complete crafting kit for kids and adults.,29.99,272,Art Supplies
685e2ba4fc13ae2323fa1441,Scented Candle Set,Set of soothing scented candles for relaxation and ambiance.,24.99,406,Home
685e2ba4fc13ae2323fa1442,Foam Muscle Roller,Relieve muscle tension and soreness with this foam roller.,24.99,27,Fitness
685e2ba4fc13ae2323fa1443,Vegetable Quinoa Bowl,"A frozen meal featuring quinoa and mixed vegetables, ready to heat and eat.",5.99,494,Food 
685e2ba4fc13ae2323fa1444,Trail Mix (Deluxe),"A delightful mix of nuts, fruit, and chocolate.",4.59,153,Food 
685e2ba4fc13ae2323fa1445,Safety Goggles,Protective goggles for DIY and construction work.,14.99,181,Safety
685e2ba4fc13ae2323fa1446,Professional Chef Knife,High-carbon stainless steel chef knife for precision cutting.,89.99,500,Kitchen
685e2ba4fc13ae2323fa1447,Insulated Cooler,Leak-proof cooler bag ideal for picnics and camping.,39.99,428,Outdoor
685e2ba4fc13ae2323fa1448,High-Speed HDMI Cable,Durable cable for connecting devices with high-definition video.,12.99,148,Electronics
685e2ba4fc13ae2323fa1449,V-Neck Sweater,Classic V-neck sweater crafted from soft wool for warmth and style.,49.99,486,Clothing 
685e2ba4fc13ae2323fa144a,Cat Tree with Scratching Posts,Multi-level cat tree for play and scratching.,79.99,182,Pets
685e2ba4fc13ae2323fa144b,Comfortable Bed Pillow,Supportive pillow designed for a good night's sleep.,24.99,446,Home
685e2ba4fc13ae2323fa144c,Balsamic Fig Dressing,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",3.79,332,Food 
685e2ba4fc13ae2323fa144d,Almond Flour Tortillas,"Gluten-free tortillas made from almond flour, perfect for various wraps and meals.",4.99,134,Food 
685e2ba4fc13ae2323fa144e,Interchangeable Watch Bands,Set of stylish watch bands to customize your look.,24.99,420,Accessories
685e2ba4fc13ae2323fa144f,Outdoor Inflatable Pool,Large inflatable pool for summer fun in your backyard.,149.99,257,Outdoor
685e2ba4fc13ae2323fa1450,Organic Sweet Potatoes,"Fresh and organic sweet potatoes, ideal for roasting.",1.99,212,Food 
685e2ba4fc13ae2323fa1451,Personalized Cutting Board,Custom cutting board made from high-quality wood.,34.99,42,Kitchen
685e2ba4fc13ae2323fa1452,Personal Security Alarm Keychain,Handy keychain that emits a loud alarm for personal safety.,10.99,485,Safety
685e2ba4fc13ae2323fa1453,Vegan Cheese,Dairy-free cheese alternative for your favorite dishes.,4.99,42,Food 
685e2ba4fc13ae2323fa1454,Creamy Garlic Dressing,"Rich and creamy dressing with garlic flavor, perfect for salads.",3.99,373,Food 
685e2ba4fc13ae2323fa1455,Andouille Sausage,Spicy and smoky sausage great for grilling.,5.49,437,Food 
685e2ba4fc13ae2323fa1456,Memory Foam Mattress Pad,Extra layer of comfort for your mattress.,69.99,8,Home
685e2ba4fc13ae2323fa1457,Customizable Photo Calendar,Personalized calendar with your favorite photos.,19.99,433,Books
685e2ba4fc13ae2323fa1458,Beach Cover-Up,"Lightweight cover-up perfect for the beach, with a breezy design.",29.99,331,Clothing 
685e2ba4fc13ae2323fa1459,Mechanical Pencil Set,"Precision pencils for drawing, sketching, and writing.",19.99,160,Office
685e2ba4fc13ae2323fa145a,Wireless Charging Station,Charge multiple devices with this sleek charging station.,39.99,214,Electronics
685e2ba4fc13ae2323fa145b,Mango Chili Salsa,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken.",4.29,292,Food 
685e2ba4fc13ae2323fa145c,Fruit Medley Juice,Refreshing juice blend made with various fresh fruits.,3.49,489,Food 
685e2ba4fc13ae2323fa145d,Toy Building Set,Creative building set for kids to spark imagination.,29.99,462,Toys
685e2ba4fc13ae2323fa145e,Adjustable Pedicure Footrest,Ergonomic footrest for easier pedicure treatment.,39.99,205,Beauty
685e2ba4fc13ae2323fa145f,Spicy Thai Chili Sauce,A sweet and spicy sauce for dipping or cooking.,3.29,325,Food 
685e2ba4fc13ae2323fa1460,Pistachios,"Roasted pistachios, a healthy and tasty snack.",6.99,99,Food 
685e2ba4fc13ae2323fa1461,Sesame Garlic Stir-Fry Sauce,A flavorful sauce for stir-frying vegetables and meats.,2.79,408,Food 
685e2ba4fc13ae2323fa1462,Drone,Beginner-friendly drone with HD camera.,249.99,339,Electronics
685e2ba4fc13ae2323fa1463,Classic Caesar Salad Kit,Everything you need for a fresh and delicious Caesar salad.,4.99,311,Food 
685e2ba4fc13ae2323fa1464,Portable Solar Phone Charger,Eco-friendly charger that uses solar energy for powering devices.,29.99,164,Electronics
685e2ba4fc13ae2323fa1465,Classic Beef Chili,Hearty chili made with premium ground beef and kidney beans.,7.99,49,Food 
685e2ba4fc13ae2323fa1466,Soft Plush Throw Blanket,Cozy throw blanket perfect for chilly evenings.,29.99,297,Home
685e2ba4fc13ae2323fa1467,Coconut Chia Seed Pudding,"Ready-to-eat chia seed pudding made with coconut milk, perfect for breakfast or dessert.",2.99,440,Food 
685e2ba4fc13ae2323fa1468,Portable Grill Cover,Durable cover to protect your grill from the elements.,24.99,395,Outdoor
685e2ba4fc13ae2323fa1469,Portable Hammock,Lightweight hammock for easy setup anywhere.,27.99,91,Outdoor
685e2ba4fc13ae2323fa146a,Portable Dog Water Bottle,Convenient water bottle for pets on the go.,18.99,165,Pets
685e2ba4fc13ae2323fa146b,Organic Cucumber,Fresh organic cucumber perfect for salads or snacking.,1.29,420,Food 
685e2ba4fc13ae2323fa146c,Walnut Halves,Fresh walnut halves for baking or snacking.,8.49,28,Food 
685e2ba4fc13ae2323fa146d,Maple Breakfast Sausage,Savory sausage links with a hint of maple flavor.,5.99,82,Food 
685e2ba4fc13ae2323fa146e,Ergonomic Mouse Pad with Wrist Support,Comfortable mouse pad designed to reduce wrist strain.,14.99,182,Office
685e2ba4fc13ae2323fa146f,Educational STEM Kit,Hands-on experience with science and engineering projects.,35.99,245,Toys
685e2ba4fc13ae2323fa1470,Tandoori Chicken Marinade,Delicious and tangy marinade for grilling or baking chicken.,2.49,452,Food 
685e2ba4fc13ae2323fa1471,Beef Stroganoff Mix,Everything you need to create a hearty beef stroganoff.,5.49,388,Food 
685e2ba4fc13ae2323fa1472,Car Vacuum Cleaner,Compact vacuum designed specifically for cleaning vehicles.,39.99,232,Automotive
685e2ba4fc13ae2323fa1473,Pet Hair Vacuum Cleaner Attachment,Specialized attachment for removing pet hair from surfaces.,14.99,268,Pets
685e2ba4fc13ae2323fa1474,Mobile Workbench,Sturdy mobile workbench with storage options.,199.99,284,Tools
685e2ba4fc13ae2323fa1475,Chiffon Blouse,Elegant chiffon blouse perfect for work or outings.,39.99,493,Clothing 
685e2ba4fc13ae2323fa1476,Eco-Friendly Yoga Blocks,Sustainable foam blocks for yoga practice.,15.99,340,Fitness
685e2ba4fc13ae2323fa1477,Peach Slices (canned),"Juicy peach slices in syrup, perfect for desserts.",2.49,253,Food 
685e2ba4fc13ae2323fa1478,Peach Green Tea,"Refreshing green tea infused with peach, perfect for a hot day.",3.49,46,Food 
685e2ba4fc13ae2323fa1479,Adjustable Skipping Rope,Durable skipping rope with adjustable length for workouts.,12.99,33,Fitness
685e2ba4fc13ae2323fa147a,Vegetable Lentil Soup,"A hearty soup made with lentils, a variety of vegetables, and spices, ideal for a nutritious meal.",3.49,275,Food 
685e2ba4fc13ae2323fa147b,Artisan Bread Loaf,"Fresh artisan bread, perfect for sandwiches",3.99,268,Food 
685e2ba4fc13ae2323fa147c,Decorative LED Neon Sign,"Bright, vibrant sign to add flair to any space.",45.99,49,Home
685e2ba4fc13ae2323fa147d,Baked Mac and Cheese,Creamy macaroni and cheese baked to perfection.,5.99,210,Food 
685e2ba4fc13ae2323fa147e,Buffalo Chicken Dip,"Spicy and creamy dip made with shredded chicken, perfect for parties.",5.99,421,Food 
685e2ba4fc13ae2323fa147f,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,6.49,74,Food 
685e2ba4fc13ae2323fa1480,Organic Green Tea,Delicate green tea leaves for a refreshing beverage.,4.29,205,Food 
685e2ba4fc13ae2323fa1481,Classic Pesto Sauce,"Fresh basil pesto, perfect for pasta or as a sandwich spread.",4.29,301,Food 
